"Examen De Sangre['9:00', '10:00', '11:00', '12:00', '15:00', '16:00']","['9:00', '10:00', '11:00', '12:00', '15:00', '16:00']"
"Secuenciamiento De Muestras Biologicas['9:00', '10:00', '11:00', '12:00', '15:00', '16:00']","['9:00', '10:00', '11:00', '12:00', '15:00', '16:00']"
"Radiografia['9:00', '10:00', '11:00', '12:00', '15:00', '16:00']","['9:00', '10:00', '11:00', '12:00', '15:00', '16:00']"
"Scanner Y Ecografia['9:00', '10:00', '11:00', '12:00', '15:00', '16:00']","['9:00', '10:00', '11:00', '12:00', '15:00', '16:00']"
"Examen De Sangre['9:00', '10:00', '11:00', '12:00', '15:00', '16:00']","['9:00', '10:00', '11:00', '12:00', '15:00', '16:00']"
"Secuenciamiento De Muestras Biologicas['9:00', '10:00', '11:00', '12:00', '15:00', '16:00']","['9:00', '10:00', '11:00', '12:00', '15:00', '16:00']"
"Radiografia['9:00', '10:00', '11:00', '12:00', '15:00', '16:00']","['9:00', '10:00', '11:00', '12:00', '15:00', '16:00']"
"Scanner Y Ecografia['9:00', '10:00', '11:00', '12:00', '15:00', '16:00']","['9:00', '10:00', '11:00', '12:00', '15:00', '16:00']"
"Examen De Sangre['9:00', '10:00', '11:00', '12:00', '15:00', '16:00']","['9:00', '10:00', '11:00', '12:00', '15:00', '16:00']"
"Secuenciamiento De Muestras Biologicas['9:00', '10:00', '11:00', '12:00', '15:00', '16:00']","['9:00', '10:00', '11:00', '12:00', '15:00', '16:00']"
"Radiografia['9:00', '10:00', '11:00', '12:00', '15:00', '16:00']","['9:00', '10:00', '11:00', '12:00', '15:00', '16:00']"
"Scanner Y Ecografia['9:00', '10:00', '11:00', '12:00', '15:00', '16:00']","['9:00', '10:00', '11:00', '12:00', '15:00', '16:00']"
